Subject,Category
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Requested feedback on Induction & Onboarding Process-Offshore DOJ+7 (EMP ID:612119),Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Reminder: Assigned activity Discrete Manufacturing and Integrated Production Systems 101 to be completed by 4/2/2019.,Important
Service Notification - Restoration- Intermittent issues to NAD,Important
Service Notification - Intermittent issues to NAD,Important
Reminder: Assigned activity NAD 101 to be completed by 3/15/2019.,Important
Daily Buzz : Planned Maintenance for NAD | Zenith Success Stories | University Hackfest,Learning Bytes
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Learning Assignment Reminder: Data Protection Due by 4/2/2019.,Important
Reminder: Assigned activity How to build Secure Applications using TechM's standard tools and guidelines to be completed by 4/2/2019.,Important
Learning Assignment Reminder: How to build Secure Applications? Due by 4/2/2019.,Important
Reminder: Assigned activity Data Protection and Privacy to be completed by 4/2/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Learning Bytes: FUTURESKILLS | AUTOMATION | PEG | BLOCKCHAIN | IBM | LIFESKILL | TECHNICAL Sessions,Learning Bytes
Ekatvam 2019 - Last day to Register is TODAY!!,Social
Reminder: Assigned activity NAD 101 to be completed by 3/15/2019.,Important
Ekatvam 2019 - Registration closes TODAY!! Registration mandatory for Food Coupons!!,Social
Learning Opportunities at Chennai,Learning Bytes
Daily Buzz :Mahindra Updates | Special Edx Discount Vouchers | Oracle Tech Day | Opening in Zenith Team,Learning Bytes
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Reminder: Assigned activity Digital 201 certification to be completed by 5/2/2019.,Important
Reminder: Assigned activity Prevention of Sexual Harassment (POSH) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity NAD 101 to be completed by 3/15/2019.,Important
Final Reminder: Insurance Enrollment Window for Plan Year 2018-2019,Important
Learning Bytes: FUTURESKILLS | AUTOMATION | PEG | BLOCKCHAIN | LIFESKILL | TECHNICAL Sessions,Learning Bytes
Winners for Location Level Annual excellence Awards 2018-19 - Chennai,Social
Daily Buzz We're hiring Fresh Science Graduates! ,Learning Bytes
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Reminder: Assigned activity Automation Engineer Basic Certification to be completed by 4/12/2019,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Ekatvam 2019 | March 16th | Bus Route details,Social
Chennai Ekatvam - 1 day to go - DO s & Don't s,Social
Ekatvam - Celebrity Galore!! Don't miss it!!,Social
Learning Opportunities at Chennai - ( Last day to nominate for DSA – Nomination endstoday ),Learning Bytes
Daily Buzz : Check out the Mahindra Group Updates & Two Interesting Webinars Today afternoon : Lessons from the Battlefield..,Learning Bytes
Ekatvam 2019 | March 16th | Bus Route details,Social
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Assigned activity NAD 101 is overdue.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Discrete Manufacturing and Integrated Production Systems 101 to be completed by 4/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Zee SaReGaMaPa Auditions @ TMCC,Social
#TechMForPulwamaMartyrs: Help rebuild destroyed hope | ,Social
"Daily Buzz : Multiple IJP Opportunities for you! Zenith, Bid Management, Quality & More",Learning Bytes
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Data Protection Due by 4/2/2019.,Important
Reminder: Assigned activity How to build Secure Applications using TechM's standard tools and guidelines to be completed by 4/2/2019.,Important
Learning Assignment Reminder: How to build Secure Applications? Due by 4/2/2019.,Important
Reminder: Assigned activity Data Protection and Privacy to be completed by 4/2/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Assigned activity NAD 101 is overdue.,Important
Learning Bytes: FUTURESKILLS | AUTOMATION | PEG | LIFESKILL | TECHNICAL | DOMAIN Sessions,Learning Bytes
Daily Buzz : Career Infosession & AWS Solution Architect Sessions This week! ,Learning Bytes
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity NAD 101 to be completed by 3/31/2019.,Important
Daily Buzz : Hiring of Fresh Engineering Graduates | CARE Webcast at 4 PM | Fanboost the Mahindra Team | Check out Mahindra Updates,Learning Bytes
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Reminder: Assigned activity Digital 201 certification to be completed by 5/2/2019.,Important
Reminder: Assigned activity Prevention of Sexual Harassment (POSH) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Learning Bytes: FUTURESKILLS | PLURALSIGHT | AUTOMATION | PEG | LIFESKILL | TECHNICAL Sessions,Learning Bytes
FW: Learning Bytes: FUTURESKILLS | PLURALSIGHT | AUTOMATION | PEG | LIFESKILL | TECHNICAL Sessions,Learning Bytes
Holi Celebration @ Amphi on 21-Mar-19 from 5:30pm ,Social
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Reminder: Assigned activity Automation Engineer Basic Certification to be completed by 4/12/2019,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity NAD 101 to be completed by 3/31/2019.,Important
Daily Buzz : Are you ready for the 'Kick the Butt' Challenge?  ,Learning Bytes
"CIO: Server maintenance activity and downtime of Quest application | Today, 10 PM to 11:30 PM IST",Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity NAD 101 to be completed by 3/31/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Reminder: Assigned activity Discrete Manufacturing and Integrated Production Systems 101 to be completed by 4/2/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
"Introducing the all new AQT Learning Lab at TMCC, Chennai on TUESDAY",Learning Bytes
"Introducing the all new AQT Learning Lab at TMCC, Chennai",Learning Bytes
Daily Buzz : Explore the Career Infosession for TechM Associates!,Learning Bytes
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Learning Assignment Reminder: Data Protection Due by 4/2/2019.,Important
Reminder: Assigned activity How to build Secure Applications using TechM's standard tools and guidelines to be completed by 4/2/2019.,Important
Learning Assignment Reminder: How to build Secure Applications? Due by 4/2/2019.,Important
Reminder: Assigned activity Data Protection and Privacy to be completed by 4/2/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity NAD 101 to be completed by 3/31/2019.,Important
"Join us for the launch of the all new AQT Learning Lab at TMCC, Chennai TODAY!",Important
Learning Bytes: FUTURESKILLS | PLURALSIGHT | AUTOMATION | PEG | LIFESKILL | TECHNICAL | DOMAIN Sessions,Learning Bytes
"Daily Buzz : Of Skill Building Opportunities, DeliveryNxt Awards and an insightful quiz!",Learning Bytes
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Daily Buzz : Share your experiences of 'Digital inside' at TechM! #TechMCARES,Learning Bytes
Reminder: Assigned activity Digital 201 certification to be completed by 5/2/2019.,Important
Reminder: Assigned activity NAD 101 to be completed by 3/31/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Registered for ECG Assessment,Important
Registered for Etiquette Culture and Grooming,Important
Learning Bytes: PLURALSIGHT | AUTOMATION | PEG | BLOCKCHAIN | LIFESKILL | TECHNICAL | DOMAIN Sessions,Learning Bytes
TIM Service Notification -  Restoration  - Airtel DDMPLS Primary link is Restored,Important
Daily Buzz : Last call for entries to the DeliveryNxt Awards : Nominate Now!,Learning Bytes
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Daily Buzz : SUGGEST A NAME FOR TECHM’S FIRST HUMANOID,Learning Bytes
Reminder_‘Join us for a WEBEX on Kick the butt-Online Smoking Cessation Program’,Important
Reminder: Assigned activity NAD 101 to be completed by 3/31/2019.,Important
REMINDER : Submission of mandatory joining related documents (612119),Important
Reminder: Assigned activity Foundation Enterprise Security to be completed by 4/2/2019.,Important
Reminder: Assigned activity Discrete Manufacturing and Integrated Production Systems 101 to be completed by 4/2/2019.,Important
Happy Birthday to all the April babies!!!,Social
Congratulate a team that turns 19!,Social
Daily Buzz : Check out what created a buzz at Mahindra Last Week,Learning Bytes
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Timesheet Approval pending for  01-Feb-19 to 31-Mar-19,Important
Tell us your favorite family moment in TechM  | #TechMCARES,Social
Learning Bytes: BLOCKCHAIN | LIFESKILL Sessions,Learning Bytes
Holiday on Election Day | Make your Vote Count ,Social
Daily Buzz : Can you visualize the future of Retail Pharmacy? Participate TODAY!,Learning Bytes
Timesheet Approval pending for  01-Feb-19 to 31-Mar-19,Important
Foundation Enterprise Security SSA25 is overdue.,Important
Reminder: Assigned activity Digital 201 certification to be completed by 5/2/2019.,Important
Daily Buzz : Register the for the AWS Solution Architect workshop : Limited Seats,Learning Bytes
Reported Time was approved for 01/03/2019 to 31/03/2019,Important
NAD 101 - ELearning & Assessment status as on 4th Apr 2019,Important
RE: NAD 101 - ELearning & Assessment status as on 4th Apr 2019,Important
Learning Bytes: AUTOMATION | BLOCKCHAIN | LIFESKILL Sessions,Learning Bytes
"Payslip for the Associate G Adityan for MAR,2019",Important
Daily Buzz: A picture from your camera roll could be the next desktop wallpaper. Details inside!  ,Learning Bytes
TIM Service Notification :- Call using computer option on the WebEx sites not working,Important
Your password expires in 7 day(s),Important
Happy World Health day!!!,Social
Urgent requirement in Mumbai,Important
Daily Buzz: India Medical Insurance Enrolment Window Is Open Now! ,Learning Bytes
Your password expires in 6 day(s),Important
Foundation Enterprise Security SSA25 is overdue.,Important
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Learning Bytes: IBM Swayam Shiksha | AUTOMATION | BLOCKCHAIN | LIFESKILL | TECHNICAL | PEG | EMEA Sessions,Learning Bytes
Daily Buzz: Join an exclusive webex on India Medical Insurance today at 4:30 PM IST,Learning Bytes
Your password expires in 5 day(s),Important
Daily Buzz: Your conference calls are debited to your IBU. Optimize their usage! ,Learning Bytes
Learning Bytes: IBM Swayam Shiksha | DATA ANALYTICS | AUTOMATION | BLOCKCHAIN | LIFESKILL | TECHNICAL | PEG | EMEA Sessions,Learning Bytes
Your password expires in 4 day(s),Important
Reminder: Assigned activity Digital 201 certification to be completed by 5/2/2019.,Important
Preparation for Immersion workshop,Learning Bytes
Preparation for Automation Immersion Workshop ,Learning Bytes
Daily Buzz: Drop by the Freevoice portal and share your queries/suggestions for the company ,Learning Bytes
RE: Preparation for Automation Immersion Workshop ,Learning Bytes
Your password expires in 3 day(s),Important
"TIM Service Notification - Chennai TMCC, Chennai SBC, Trivandrum link Failover test",Important
Daily Buzz:  Automation Friday Webinar at 3 PM IST | Cortex Intelligent Automation,Learning Bytes
Your password expires in 2 day(s),Important
REMINDER : Submission of mandatory joining related documents (612119),Important
Foundation Enterprise Security SSA25 is overdue.,Important
Your password expires in 1 day(s),Important
Mandatory information completion for  Adityan Gopinathan (612119),Important
IAUT Way of Working - IAUT Awards,Social
Global Azure Bootcamp 2019 @Tech Mahindra Chennai - Save the Date,Learning Bytes
Daily Buzz: Visa Cell Advisory: Important Holiday ALERT - Japan ,Learning Bytes
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Reminder - India Insurance Enrolment Window for Plan Year 2019-2020,Important
Daily Buzz: Join an exclusive webex on the India medical insurance policy today at 4 PM IST ,Learning Bytes
Learning Bytes: IBM | DATA ANALYTICS | AUTOMATION | LIFESKILL | TECHNICAL | PEG | EMEA | PROJECT MANAGEMENT Sessions,Learning Bytes
Learning Assignment Overdue: How to build Secure Applications? Due by 4/2/2019.,Important
Reminder to complete AEA certification,Important
Daily Buzz: Here's everything you wanted to know about the Zenith management workshop! ,Learning Bytes
RE: Foundation Enterprise Security SSA25 is overdue.,Important
Foundation Enterprise Security SSA25 is overdue.,Important
Daily Buzz: Appreciate innovators and creative colleagues with special e-cards on Kudos today! ,Learning Bytes
Reminder - India Insurance Enrolment Window for Plan Year 2019-2020,Important
Learning Bytes: IBM | DATA ANALYTICS | AUTOMATION | LIFESKILL | TECHNICAL | PEG | EMEA | PROJECT MANAGEMENT Sessions,Learning Bytes
Daily Buzz: TechMighty wins the group contest launched on World Water Day. Details inside! ,Learning Bytes
Reminder: Assigned activity Digital 201 certification to be completed by 5/2/2019.,Important
Mandatory information completion for  Adityan Gopinathan (612119),Important
Daily Buzz: You can now login to mEasy using Facial Recognition! ,Learning Bytes
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Learning Bytes: IBM | DATA ANALYTICS | AUTOMATION | LIFESKILL | TECHNICAL | LEGAL | PEG | EMEA | PROJECT MANAGEMENT Sessions,Learning Bytes
Learning Assignment Overdue: How to build Secure Applications? Due by 4/2/2019.,Important
RE: Learning Assignment Overdue: How to build Secure Applications? Due by 4/2/2019.,Important
Global Azure Boot Camp @ Chennai on 27th April 2019 : Register & learn,Learning Bytes
Daily Buzz: You can now register for Face Recognition through mEasy! ,Learning Bytes
Reminder: Assigned activity Digital 201 certification to be completed by 5/2/2019.,Important
Learning Bytes: IBM | DATA ANALYTICS | AUTOMATION | LIFESKILL | TECHNICAL | LEGAL | PEG | EMEA | PROJECT MANAGEMENT Sessions,Learning Bytes
Daily Buzz: Reverse Mentoring - Meet the mentors who are making a difference! ,Learning Bytes
Daily Buzz: Join the automation Friday webinar at 3 PM IST | Winners of the Data Science Hackathon announced ,Learning Bytes
TIM Service Notification-DR DRILL :-Chennai SBC TechM Core,Important
TIM Service Notification - Planned Maintenance - Internet link Failover test at Chennai TMCC,Important
Mandatory information completion for  Adityan Gopinathan (612119),Important
"Payslip for the Associate G Adityan for APR,2019",Important
"Payslip for the Associate G Adityan for MAR,2019",Important
Invite for the training on Angular 6,Learning Bytes
Daily Buzz: Got a query or suggestion for the company? Drop by the Freevoice portal and post it! ,Learning Bytes
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Learning Bytes: IBM | Data analytics | Automation | Technical sessions,Learning Bytes
Daily Buzz: Payroll Communication - Salary for April 2019,Learning Bytes
Welcome to the Machine Learning with Big Data Course,Learning Bytes
Welcome to Machine Learning With Big Data,Learning Bytes
Learning Bytes: Life skills & Technical Sessions,Learning Bytes
CONFIRMATION for AI Boot camp @ Chennai 6th and 7th May,Learning Bytes
Daily Buzz: Say thank you to the colleague that tickled your funny bone! ,Learning Bytes
RE: CONFIRMATION for AI Boot camp @ Chennai 6th and 7th May,Learning Bytes
Registered for Angular Session,Learning Bytes
Daily Buzz: Winners of the Orbit Poster Competition Announced. Congratulations! ,Learning Bytes
RE: CONFIRMATION for AI Boot camp @ Chennai 6th and 7th May,Learning Bytes
Assigned activity Digital 201 certification is overdue.,Important
[BULK] Still open: Machine Learning With Big Data with University of California San Diego,Learning Bytes
[BULK] Optimize your virtual machine with free tools,Learning Bytes
RE: CONFIRMATION for AI Boot camp @ Chennai 6th and 7th May,Learning Bytes
Mandatory information completion for  Adityan Gopinathan (612119),Important
TIM Alert: Chrome 74 Released with the Fix for 39 Security Vulnerabilities,Important
Daily Buzz: Winners of Orbit Poster Competition Announced | Important ISG alert ,Learning Bytes
AI boot camp ,Learning Bytes
Learning Bytes: LIFESKILL | LEGAL | TECHNICAL | AUTOMATION | PEG | BLOCKCHAIN Sessions,Learning Bytes
Re: AI boot camp ,Learning Bytes
Daily Buzz: Here's a chance to get featured in the upcoming Mahindra Racing Fans Go Bollywood dance video! Details inside ,Learning Bytes
Daily Buzz: eXtra mile - Congratulate the new members on the leader board!,Learning Bytes
Feedback for AI Chennai Boot camp,Learning Bytes
Learning Bytes: PLURALSIGHT | LIFESKILL | LEGAL | TECHNICAL | AUTOMATION | PEG | BLOCKCHAIN | DATA ANALYTICS Sessions,Learning Bytes
Daily Buzz: Give our Mahindra Racing driver Jérôme D’Ambrosio a winning edge with FANBOOST! ,Learning Bytes
Announcing the Launch of the Star Awards : Nominations Open!,Social
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Learning Bytes
Assigned activity Digital 201 certification is overdue.,Important
The Daily Buzz: Automation Friday: Attend a webinar on AI for digital transformation in business,Learning Bytes
Mothers' Day is here: What are your plans? | #50Things,Social
RE: Announcing Star Awards 2019 : Start Identifying Your Best of Best NOW!,Social
Kudos for going from good to better: Are you game? | #SupportOdisha,Social
SuperMoms- Happy Mothers day,Social
Mandatory information completion for  Adityan Gopinathan (612119),Important
Daily Buzz: Take a quiz on your favourite news app Nemo and stand a chance to win some exciting prizes! ,Learning Bytes
Training Calendar - May 2019,Learning Bytes
Learning Bytes: Pluralsight | Lifeskill | Legal | Technical | Automation | PEG | Blockchain | EMEA | Data Analytics Sessions,Learning Bytes
Daily Buzz: See yourself working with a new team? Check out Talex today! ,Learning Bytes
Nominations For Star Awards 2019 Are Open Now. Hurry! ,Social
"Service notification: The new integrated video, webex & audio meetings service is now live! ",Important
RE: Announcing Star Awards 2019 : Start Identifying Your Best of Best NOW!,Social
Invite for Angular session (Java Full Stack ) : Thursday schedule,Learning Bytes
Invite for Angular session (Java Full Stack ),Learning Bytes
Daily Buzz: Grateful for an incredible family at work? Wish them on Kudos today! ,Learning Bytes
Time for your valuable feedback for AI boot camp at Chennai.,Learning Bytes
Learning Bytes: Pluralsight | Lifeskills| Legal | Technical | Automation | PEG | Blockchain | EMEA | Data analytics Sessions,Learning Bytes
RE: Invite for Angular session (Java Full Stack ),Learning Bytes
Daily Buzz: Join the live webcast of an insightful session on Water Conservation today at 5 PM IST! ,Learning Bytes
TIM Service Notification - Planned Maintenance - Chennai TMCC WLC IOS upgradation,Important
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
FW: AQT Market Buzz,Learning Bytes
Automation Friday Webinar Today | Performance Testing of Hybrid IT,Learning Bytes
REMINDER: Automation Friday Webinar Today | Performance Testing of Hybrid IT,Learning Bytes
RE: Announcing Star Awards 2019 : Start Identifying Your Best of Best NOW!,Social
Daily Buzz: Join the Automation webinar today at 3 PM IST | Check out eXtra mile for some interesting assignments ,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | Performance Testing of Hybrid IT,Learning Bytes
Your password expires in 7 day(s),Important
Daily Buzz: Participate in a fun quiz around the ICC World cup 2019 and win some cool prizes! ,Learning Bytes
Star Awards Nomination Date Has Been Extended Till 27th  May 2018! ,Social
AQT Market Buzz,Learning Bytes
Your password expires in 6 day(s),Important
Learning Bytes: PLURALSIGHT | LIFESKILL | TECHNICAL | AUTOMATION | PEG | EMEA | DATA ANALYTICS Sessions,Learning Bytes
Daily Buzz: Celebrating World Day of Cultural Diversity. Wish a friend on Kudos! ,Learning Bytes
Your password expires in 5 day(s),Important
Daily Buzz: Celebrate Bio-diversity day by sharing your best shot and win some exciting prizes! ,Learning Bytes
TIM Service Notification: Outage,Important
Your password expires in 4 day(s),Important
Learning Bytes: Register for upcoming learning sessions and trainings!,Learning Bytes
Daily Buzz: Predict the winners of the ICC World Cup Qualifier games & win some grand prizes! ,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Assigned activity Digital 201 certification is overdue.,Important
Your password expires in 3 day(s),Important
RE: Java Full Stack : Kick off session,Learning Bytes
Automation Friday Webinar Today | Ballista –TechM’s Performance Testing tool,Learning Bytes
REMINDER: Automation Friday Webinar Today | Ballista –TechM’s Performance Testing tool,Learning Bytes
Daily Buzz: Join an exclusive webex on Decoding the financials on 27th May at 4 PM IST,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | Ballista –TechM’s Performance Testing tool,Learning Bytes
TIM Service Notification - Restoration - INC000007034931 - Intermittent issue with TIM Helpline Number (7799),Important
[BULK] ?? Memorial Day Weekend Sale: 50% off your logo,Social
Tech Mahindra Football Club - Winners of Champions Stars Trophy 2019,Social
Training Calendar updated - May 2019,Learning Bytes
Daily Buzz: We are hiring! Check out a unique opportunity for Science grads || Have you taken the eXtra mile survey yet? ,Learning Bytes
RE: Java Full Stack : Kick off session,Learning Bytes
Join us on webex for world no tobacco day,Social
Daily Buzz: Decoding the Q4 financials tomorrow at 4 PM IST. Please note the new webex link!,Learning Bytes
Learning Bytes: PLURALSIGHT | LIFESKILL | TECHNICAL | AUTOMATION | PEG | ITIL | EMEA | DATA ANALYTICS Sessions,Learning Bytes
[ALL] TIM Service Notification - Emergency Activity - Maintenance from ISP on TIM Number CSD 7799,Important
[ALL] TIM Service Notification - Emergency Activity - Maintenance from ISP on TIM Number CSD 7799,Important
Join us on webex for world no tobacco day,Social
RE: Java Full Stack : Kick off session,Learning Bytes
Take the latest STAR AWARDS Quiz and win fabulous prizes,Social
Daily Buzz: Swipe-in & out records are not available on the Timesheet page from 21st May ,Learning Bytes
Participate & Volunteer for World Environment Day,Social
Invite for the Angular session (Extended) ,Learning Bytes
Registration approved for Web seminar: Tech Mahindra and UiPath Launch AI Driven End-to-End Automation Solution for Enterprises,Learning Bytes
Learning Bytes: PLURALSIGHT | LIFESKILL | TECHNICAL | PEG | ITIL | DATA ANALYTICS Sessions,Learning Bytes
Daily Buzz: Read on to know what a famous Hindi movie dialogue and our industry have in common! ,Learning Bytes
Thank you for attending the Web seminar: Tech Mahindra and UiPath Launch AI Driven End-to-End Automation Solution for Enterprises,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Assigned activity Digital 201 certification is overdue.,Important
[ALL] TIM Service Notification - Outage - INC000007061545 - TIM Live CHAT is not available due to Technical issue,Important
Automation Friday Webinar Today | Digital App Performance & Ops Analytics,Learning Bytes
REMINDER: Automation Friday Webinar Today | Digital App Performance & Ops Analytics,Learning Bytes
Daily Buzz: Join the Automation Friday webinar at 3 PM IST today || Timesheet issue resolved ,Learning Bytes
